UserType,ImgArray,Password,Action,ItemStatus_Laptop,ItemStatus_Part,Model_Laptop,Model_Part,Defects,Users,Admins,Tech.Admin,Seller,Worker,BoardTaskStatus,ChatType,Category,NotificationType,Permissions,LaptopID,PartID,LaptopSearchID,PartSearchID,Role,PermissionArray
Admin,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Warning,1,1,MSI,Motherboard,"[""Water""]",634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a7,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a9,Active,Single,GamingLP,Warning,View all tables,63701971fc13ae029a0000e6,634f2ce1fc13ae1750000172,6459651,6834164,Default,"[""View all tables"", ""Edit all objects""]"
Seller,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Critical Error,2,2,ASUS,CPU,"[""Kicked""]",634dd919fc13ae3eb10002a9,634dd919fc13ae3eb10002ab,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a9,Finished,Group,ServerLP,Critical Error,Edit all objects,63701971fc13ae029a0000e7,634f2ce1fc13ae1750000173,2498719,5416687,Advanced seller,"[""View all tables"", ""Edit all objects"", ""View all users"", ""Manage users]"
Worker,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Error,3,3,HP,GPU,"[""Not working""]",634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a7,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a9,In Progress,Single,After 500$,Error,All permitted,63701971fc13ae029a0000e8,634f2ce1fc13ae1750000174,4290124,7265277,Advanced worker,"[""View all tables"", ""Edit all objects"", ""View all users"", ""Manage users""]"
Tech. Admin,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Warning,4,0,LENOVO,RAM,"[""Not display""]",634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002ab,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a9,Error,Group,Under 500$,Success,View worker tables,63701971fc13ae029a0000e9,634f2ce1fc13ae1750000175,6798791,9490141,Short seller,"[""View all tables""]"
Admin,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Critical Error,5,0.1,APPLE,SSD,"[""Water""]",634dd919fc13ae3eb10002a9,634dd919fc13ae3eb10002a7,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a9,Active,Single,OfficeLP,Warning,View seller tables,63701971fc13ae029a0000ea,634f2ce1fc13ae1750000176,3250318,4468009,Short worker,"[""View all tables""]"
Seller,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Error,6,0.2,Chromebook,HDD,"[""Kicked""]",634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002ab,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a9,Finished,Group,CommonLP,Critical Error,Manage roles,63701971fc13ae029a0000eb,634f2ce1fc13ae1750000177,3896331,3846787,Short Admin,"[""View all tables"", ""Edit all objects"", ""View all users"", ""Manage users"", ""Manage roles""]"
Worker,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Warning,0,0.3,MSI,Backward,"[""Not working""]",634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a7,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a9,In Progress,Single,GamingLP,Error,Manage permissions,63701971fc13ae029a0000ec,634f2ce1fc13ae1750000178,8282963,7822267,Default,
Tech. Admin,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Critical Error,0.1,0.4,ASUS,Screen,"[""Not display""]",634dd919fc13ae3eb10002a9,634dd919fc13ae3eb10002ab,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a9,Error,Group,ServerLP,Success,Manage users,63701971fc13ae029a0000ed,634f2ce1fc13ae1750000179,6078186,9121140,Advanced seller,
Admin,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Error,0.2,3.1,HP,Keyboard,"[""Water""]",634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a7,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002a9,Active,Single,After 500$,Warning,View all users,63701971fc13ae029a0000ee,634f2ce1fc13ae175000017a,7050056,2381054,Advanced worker,
Seller,"[""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"", ""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1"",""https://robohash.org/quaeratexcepturideleniti.png?size=50x50&set=set1""]",$2b$04$H0Nn492oQ8yZudykz74Tqu0sIqDmuN2IHdAQC.TfvgDN0R0ljFFvO,Warning,7,3.2,LENOVO,Palmrest,"[""Kicked""]",634dd919fc13ae3eb10002a8,634dd919fc13ae3eb10002ab,634dd919fc13ae3eb10002aa,634dd919fc13ae3eb10002ac,634dd919fc13ae3eb10002a9,Finished,Group,Under 500$,Critical Error,View all tables,63701971fc13ae029a0000ef,634f2ce1fc13ae175000017b,6532859,3626144,Short seller,
